FID,OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_,STATE_CODE,ARPT_ID,CITY,COUNTRY_CO,REGION_COD,ADO_CODE,STATE_NAME,COUNTY_NAM,COUNTY_ASS,ARPT_NAME,OWNERSHIP_,FACILITY_U,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMA,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIM,SURVEY_MET,ELEV,ELEV_METHO,geometry
1,1,2022-12-01 00:00:00+00:00,00103.,A,AL,0J0,ABBEVILLE,US,ASO,JAN,ALABAMA,HENRY,AL,ABBEVILLE MUNI,PU,PU,31,36,0.8,N,31.60022222,85,14,17.91,W,-85.23830833,E,463.1,S,POINT (-85.2383083329137 31.6002222222882)
2,2,2022-12-01 00:00:00+00:00,00106.,A,AL,2A8,ADDISON,US,ASO,JAN,ALABAMA,WINSTON,AL,ADDISON MUNI,PU,PU,34,13,1.71,N,34.21714167,87,9,29.37,W,-87.15815833,E,786.0,E,POINT (-87.1581583329185 34.217141666423)
3,3,2022-12-01 00:00:00+00:00,00108.,A,AL,AL03,AKRON,US,ASO,JAN,ALABAMA,HALE,AL,STRICKLAND/SMALLEY FLD,PR,PR,32,50,51.0,N,32.8475,87,42,50.0,W,-87.71388889,E,369.0,E,POINT (-87.713888888809 32.8474999996989)
4,4,2022-12-01 00:00:00+00:00,00110.,A,AL,EET,ALABASTER,US,ASO,JAN,ALABAMA,SHELBY,AL,SHELBY COUNTY,PU,PU,33,10,40.0,N,33.17777778,86,46,59.6,W,-86.78322222,E,585.6,S,POINT (-86.7832222224263 33.1777777779223)
6,6,2022-12-01 00:00:00+00:00,00112.1,A,AL,8A0,ALBERTVILLE,US,ASO,JAN,ALABAMA,MARSHALL,AL,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,PU,PU,34,13,44.8,N,34.22911111,86,15,20.7,W,-86.25575,E,1032.3,S,POINT (-86.2557500000727 34.2291111108098)
7,7,2022-12-01 00:00:00+00:00,00116.,A,AL,ALX,ALEXANDER CITY,US,ASO,JAN,ALABAMA,TALLAPOOSA,AL,THOMAS C RUSSELL FLD,PU,PU,32,54,53.1,N,32.91475,85,57,46.6,W,-85.96294444,E,685.8,S,POINT (-85.962944444031 32.9147499996459)
9,9,2022-12-01 00:00:00+00:00,00119.,A,AL,AIV,ALICEVILLE,US,ASO,JAN,ALABAMA,PICKENS,AL,GEORGE DOWNER,PU,PU,33,6,24.28,N,33.10674444,88,11,49.83,W,-88.197175,E,150.0,S,POINT (-88.1971749999529 33.1067444440695)
10,10,2022-12-01 00:00:00+00:00,00124.,A,AL,79J,ANDALUSIA,US,ASO,JAN,ALABAMA,COVINGTON,AL,SOUTH ALABAMA RGNL AT BILL BENTON FLD,PU,PU,31,18,30.1,N,31.30836111,86,23,32.0,W,-86.39222222,E,310.2,S,POINT (-86.3922222224278 31.30836111111)
11,11,2022-12-01 00:00:00+00:00,00128.,A,AL,ANB,ANNISTON,US,ASO,JAN,ALABAMA,CALHOUN,AL,ANNISTON RGNL,PU,PU,33,35,17.4,N,33.58816667,85,51,29.2,W,-85.85811111,E,612.0,S,POINT (-85.8581111114597 33.5881666666772)
14,14,2022-12-01 00:00:00+00:00,00133.5,A,AL,1M3,ARDMORE,US,ASO,JAN,ALABAMA,LIMESTONE,AL,ARDMORE,PR,PU,34,58,44.7,N,34.97908333,86,52,59.8,W,-86.88327778,E,922.0,E,POINT (-86.8832777780225 34.9790833334124)
